,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
383,Jasmine Thai Hom Mali Rice,Grains and Pasta - Rice,"Jasmine Thai Hom Mali Rice is a fragrant and aromatic long grain rice sourced from Thailand. Known for its delicate floral aroma and soft, slightly sticky texture, this premium rice is perfect for traditional Thai dishes, stir-fries, and sushi. With its subtle sweet flavor and fluffy texture when cooked, Jasmine Thai Hom Mali Rice is a versatile and essential staple for any kitchen.",$3.82,792,Non-Vegan,Gluten-Free
384,Minute Instant White Rice,Grains and Pasta - Rice,"Minute Instant White Rice is a convenient and quick cooking rice product that allows you to prepare a delicious side dish in just minutes. Made from high-quality, long grain white rice, this product is perfect for busy individuals and families who want a wholesome and satisfying meal without the long cooking time. Whether you're serving it as a side dish or using it as a base for a stir-fry or casserole, Minute Instant White Rice is the perfect choice for easy, tasty meals.",$2.48,110,Vegan,Non-Gluten-Free
385,Carolina Jasmine Enriched Long Grain Rice,Grains and Pasta - Rice,"Carolina Jasmine Enriched Long Grain Rice is a premium quality rice known for its delicate aroma and fluffy texture when cooked. This long grain rice is enriched with essential nutrients, making it a wholesome and nutritious choice for any meal. Perfect for a variety of dishes, from savory pilafs to creamy risottos, Carolina Jasmine Enriched Long Grain Rice is a versatile and delicious addition to any kitchen.",$1.18,871,Vegan,Gluten-Free
386,Nishiki Premium Medium Grain Rice,Grains and Pasta - Rice,"Nishiki Premium Medium Grain Rice is a high-quality rice product known for its consistent texture, delicate flavor, and versatility in various cuisines. Grown in the fertile soils of California, this medium grain rice is perfect for sushi, risotto, paella, and other rice-based dishes. With its excellent absorption properties and fluffy, tender grains, Nishiki Premium Medium Grain Rice is a staple for any kitchen.",$4.80,168,Vegan,Non-Gluten-Free
387,Vigo Saffron Yellow Rice,Grains and Pasta - Rice,"Vigo Saffron Yellow Rice is a savory and flavorful rice dish that combines the earthy taste of grains with the aromatic essence of saffron. This easy-to-prepare side dish is perfect for complementing a wide variety of main courses, and its vibrant yellow color adds a pop of excitement to any meal. With a perfect blend of seasonings, Vigo Saffron Yellow Rice is a convenient and delicious way to elevate any meal.",$3.90,613,Vegan,Gluten-Free
388,Knorr Rice Sides Cheddar Broccoli,Grains and Pasta - Rice,"Knorr Rice Sides Cheddar Broccoli is a delicious and convenient side dish made with tender rice and rich cheddar cheese sauce, combined with the savory flavor of broccoli. This easy-to-prepare dish is perfect for busy weeknights or as a tasty addition to any meal. Just add water, butter, and a few simple ingredients for a creamy and hearty side that the whole family will love.",$2.43,248,Vegan,Gluten-Free
389,Zatarain's New Orleans Style Red Beans & Rice,Grains and Pasta - Rice,"Zatarain's New Orleans Style Red Beans & Rice is a flavorful and convenient rice mix that captures the authentic taste of New Orleans cuisine. Made with long grain white rice, red beans, and a blend of traditional Creole spices, this product brings the taste of the Big Easy right to your kitchen. Simply add water and enjoy a delicious and hearty meal in minutes. Perfect for a quick and delicious dinner or as a side dish to complement your favorite Cajun or Creole dishes.",$1.92,756,Vegan,Non-Gluten-Free
390,Barilla Penne Pasta,Grains and Pasta - Pasta,"Barilla Penne Pasta is a classic Italian pasta made from the finest durum wheat. Its traditional tubular shape and ridged texture make it perfect for holding onto sauces and adding delicious flavor to any dish. Whether paired with a hearty Bolognese or a light and fresh tomato sauce, Barilla Penne Pasta is a versatile and delicious addition to any meal.",$1.98,166,Non-Vegan,Gluten-Free
391,Ronzoni Spaghetti,Grains and Pasta - Pasta,"Ronzoni Spaghetti is a classic pasta product made from high-quality durum wheat, giving it a deliciously firm texture and exceptional flavor. Perfect for pairing with your favorite sauces or using in pasta salads, Ronzoni Spaghetti is a versatile and essential addition to any pantry. Enjoy this traditional Italian pasta as part of a comforting and satisfying meal.",$3.00,761,Non-Vegan,Gluten-Free
392,Mueller's Fettuccine,Grains and Pasta - Pasta,"Mueller's Fettuccine is a classic pasta made from the finest durum wheat semolina, expertly crafted to deliver the perfect texture and flavor. This long, flat noodle is ideal for creating decadent fettuccine alfredo, creamy carbonara, or any other delicious pasta dish your heart desires. With its smooth, velvety texture and authentic Italian taste, Mueller's Fettuccine is sure to elevate any meal.",$1.19,903,Non-Vegan,Non-Gluten-Free
393,De Cecco Rigatoni,Grains and Pasta - Pasta,"De Cecco Rigatoni is a classic Italian pasta made from durum wheat semolina. Its ridged surface and wide, tube-like shape make it perfect for holding onto hearty sauces, while its firm texture ensures it maintains its shape during cooking. This high-quality pasta is produced using traditional methods to ensure a delicious, al dente texture every time. Perfect for creating comforting and satisfying pasta dishes.",$1.35,974,Vegan,Non-Gluten-Free
394,Colavita Farfalle,Grains and Pasta - Pasta,"Colavita Farfalle is a traditional Italian pasta product created by one of the most trusted names in pasta. Made with 100% durum wheat semolina, this farfalle pasta is shaped like a butterfly, making it an elegant and versatile choice for any pasta dish. Perfect for pairing with your favorite sauces, Colavita Farfalle is a high-quality and delicious addition to any meal.",$1.54,772,Vegan,Non-Gluten-Free
395,Dreamfields Rotini,Grains and Pasta - Pasta,"Dreamfields Rotini is a high-quality pasta made from durum semolina wheat. This delicious spiral-shaped pasta has a great texture and holds sauce well, making it perfect for a variety of pasta dishes. Plus, it is enriched with fiber and protein, making it a healthier option for anyone looking to enjoy a tasty pasta meal. With Dreamfields Rotini, you can indulge in your favorite pasta dishes without sacrificing taste or nutrition.",$2.15,801,Vegan,Gluten-Free
396,365 Everyday Value Angel Hair Pasta,Grains and Pasta - Pasta,"365 Everyday Value Angel Hair Pasta is a delicate and slender pasta made from high-quality durum wheat. This traditional Italian pasta is perfect for creating light and flavorful dishes such as pasta primavera, aglio e olio, or with a simple tomato sauce. With its quick cooking time and versatile nature, this angel hair pasta is a staple for any kitchen pantry.",$4.39,582,Non-Vegan,Non-Gluten-Free
397,Great Value Elbow Macaroni,Grains and Pasta - Pasta,"Great Value Elbow Macaroni is a classic pasta option that is versatile and delicious. Made from the finest durum wheat, this elbow macaroni is perfect for creating a variety of comforting and satisfying dishes. Whether you're making a creamy mac and cheese, a hearty pasta salad, or a flavorful pasta bake, this high-quality elbow macaroni is a pantry staple that you can rely on for consistently great results.",$4.95,584,Vegan,Gluten-Free
398,Kraft Macaroni & Cheese,Grains and Pasta - Pasta,"Kraft Macaroni & Cheese is a classic American comfort food. This pasta product features elbow macaroni, creamy cheese sauce, and a signature blend of spices for a delicious and easy-to-make meal. Just add milk and butter to create a creamy, cheesy pasta dish that's perfect for the whole family.",$2.94,899,Non-Vegan,Gluten-Free
399,Annie's Homegrown Shells & White Cheddar,Grains and Pasta - Pasta,"Annie's Homegrown Shells & White Cheddar is a delicious pasta product made with organic wheat pasta shells and a creamy white cheddar cheese sauce. This quick and easy meal is perfect for busy weeknights and provides a tasty and satisfying option for the whole family. Made with high-quality, natural ingredients, Annie's Homegrown Shells & White Cheddar is a wholesome and flavorful choice for pasta lovers.",$4.51,261,Non-Vegan,Gluten-Free
400,Kellogg's Frosted Flakes,Grains and Pasta - Cereals,"Kellogg's Frosted Flakes is a popular and classic breakfast cereal made with crunchy corn flakes and a sweet, frosted coating. It is a quick and easy option for a delicious and satisfying breakfast, loved by kids and adults alike. With its irresistible taste and crispy texture, Kellogg's Frosted Flakes is a timeless choice for starting your day off right.",$2.47,364,Non-Vegan,Gluten-Free
401,General Mills Honey Nut Cheerios,Grains and Pasta - Cereals,"General Mills Honey Nut Cheerios is a beloved breakfast cereal made with whole grain oats and real honey. These delicious, crunchy, and sweetened whole grain oat rings are a great source of vitamins and minerals, making it a nutritious and satisfying way to start your day. Honey Nut Cheerios is a timeless classic that has been a family-favorite for generations.",$3.75,519,Vegan,Non-Gluten-Free
402,Quaker Oats,Grains and Pasta - Cereals,"""Quaker Oats"" is a classic and versatile brand of nutritious, whole-grain oats. Whether enjoyed as a warm bowl of oatmeal for breakfast or used in baking recipes, Quaker Oats provides a hearty and wholesome option for incorporating more whole grains into your diet. With a rich, nutty flavor and a satisfyingly chewy texture, Quaker Oats are a pantry staple for health-conscious consumers looking to add more fiber and nutrients to their meals.",$4.09,164,Non-Vegan,Non-Gluten-Free
403,Post Fruity Pebbles,Grains and Pasta - Cereals,"Post Fruity Pebbles is a colorful and fruity cereal made from crispy rice grains. This classic breakfast option is packed with vibrant fruit flavors and is a favorite among kids and adults alike. It's a delicious and fun way to start your day and is perfect for enjoying with milk or as a snack on its own. With its iconic rainbow of colors and fruity taste, Post Fruity Pebbles is a beloved choice for breakfast or any time of day.",$1.50,772,Vegan,Gluten-Free
404,Kashi GoLean Crunch,Grains and Pasta - Cereals,"Kashi GoLean Crunch is a delicious and nutritious blend of whole grain clusters, crisp rice, and honey-toasted whole grain puffs. Packed with protein, fiber, and whole grains, this cereal offers a satisfying crunch and a hint of sweetness, making it the perfect way to start your day. Whether enjoyed with milk or as a topping for yogurt, Kashi GoLean Crunch is a wholesome and satisfying choice for breakfast or snacking.",$3.58,337,Vegan,Non-Gluten-Free
405,Cheerios Oat Crunch,Grains and Pasta - Cereals,"Cheerios Oat Crunch is a delicious and nutritious breakfast cereal made with whole grain oats and crispy oat clusters. Packed with fiber and essential nutrients, this cereal provides a hearty and satisfying start to your day. With a delightful crunch and the classic Cheerios flavor, it's a great way to fuel your morning.",$2.74,633,Vegan,Non-Gluten-Free
406,Special K Red Berries,Grains and Pasta - Cereals,"Special K Red Berries is a delightful blend of whole grain wheat and crunchy rice flakes, with a burst of sweet, tangy red berries in every bite. This delicious cereal is a great source of fiber, vitamins, and minerals, making it a wholesome and satisfying breakfast choice. It's a perfect balance of nutrition and flavor, ensuring a tasty and fulfilling start to your day.",$1.12,859,Non-Vegan,Non-Gluten-Free
